degree,number of terms,train R2 (mean),CV R2 (mean),CV R2 (std)
1,5,0.9887068710336255,0.9886757936488936,0.0004661552615269786
2,20,0.988738066782792,0.9886576217062153,0.00045434706408847446
3,55,0.9888058774910254,0.9885999233475804,0.00048148088746679694
