Model,Search space,Candidates,Baseline configuration,Tuned configuration (best_params_),Baseline CV R² (mean),Baseline CV R² (std),Tuned CV R² (mean),Tuned CV R² (std),CV R² change
Ridge Regression,"alpha: ['0.001', '0.001778', '0.003162', '0.005623', '0.01', '0.01778', '0.03162', '0.05623', '0.1', '0.1778', '0.3162', '0.5623', '1', '1.778', '3.162', '5.623', '10', '17.78', '31.62', '56.23', '100', '177.8', '316.2', '562.3', '1000']",25,alpha=1,alpha=0.5623,0.9886757907708343,0.00046559435723170304,0.9886757982444845,0.0004658396370709187,7.47365014319712e-09
Gradient Boosting Regressor,"learning_rate: ['0.03', '0.05', '0.1', '0.2']; n_estimators: ['100', '200', '400']; max_depth: ['2', '3', '4']; subsample: ['0.8', '1']",72,"learning_rate=0.1, n_estimators=100, max_depth=3, subsample=1","learning_rate=0.1, max_depth=2, n_estimators=400, subsample=0.8",0.9877291945748017,0.0006524141022716227,0.9880881984248108,0.0004628461093083466,0.0003590038500090875
