Model (tuned),Tuned configuration,Tuned CV R² (train-side),Tuned test R²,Tuned test RMSE,Tuned test MAE,Tuned training R²
Ridge Regression,alpha=0.5623,0.9886757982444845,0.9885792934412487,2.0524412101063665,1.6415321203742688,0.9887048390510802
Gradient Boosting Regressor,"learning_rate=0.1, max_depth=2, n_estimators=400, subsample=0.8",0.9880881984248108,0.988112594489233,2.0939570938042738,1.677911333491016,0.9888067257578622
