mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15529613494873046,0.005127365212912791,0.021443653106689452,0.003296140918763677,0.001,{'model__alpha': np.float64(0.001)},0.9892929939326561,0.9882522114388681,0.9889373694918782,0.9888689819173008,0.9880274115755144,0.9886757936712435,0.000466154699791676,12
0.15096435546875,0.010052081302502019,0.020770978927612305,0.0033926777205821957,0.0017782794100389228,{'model__alpha': np.float64(0.0017782794100389228)},0.9892929939195892,0.9882522122541881,0.9889373680224559,0.9888689821640554,0.9880274120827265,0.9886757936886031,0.0004661542626057711,11
0.14909567832946777,0.010267269290906536,0.018988418579101562,0.0013678245840908379,0.0031622776601683794,{'model__alpha': np.float64(0.0031622776601683794)},0.9892929938962766,0.9882522137039783,0.9889373654093386,0.9888689826027782,0.9880274129846158,0.9886757937193975,0.0004661534851695606,10
0.14844961166381837,0.007543332276907411,0.02013239860534668,0.00261178159305409,0.005623413251903491,{'model__alpha': np.float64(0.005623413251903491)},0.9892929938545789,0.9882522162818685,0.9889373607622527,0.9888689833827101,0.9880274145881879,0.9886757937739196,0.0004661521026786291,9
0.1432647705078125,0.01057196448573884,0.015891885757446288,0.00032309307096028386,0.01,{'model__alpha': np.float64(0.01)},0.9892929937796664,0.9882522208653131,0.9889373524976978,0.9888689847688882,0.988027417439031,0.9886757938701193,0.00046614964424832397,8
0.12373862266540528,0.00779753817667674,0.015820741653442383,0.003215043833695243,0.01778279410038923,{'model__alpha': np.float64(0.01778279410038923)},0.9892929936440399,0.9882522290135397,0.9889373377986771,0.9888689872315005,0.9880274225062353,0.9886757940387986,0.00046614527255111444,7
0.07917437553405762,0.039322666692230696,0.018090105056762694,0.0032082871077244433,0.03162277660168379,{'model__alpha': np.float64(0.03162277660168379)},0.9892929933952331,0.9882522434957166,0.9889373116523342,0.9888689916031256,0.9880274315095793,0.9886757943311977,0.00046613749870070447,6
0.0509148120880127,0.0037718746515104577,0.021779394149780272,0.0012096096024796492,0.05623413251903491,{'model__alpha': np.float64(0.05623413251903491)},0.9892929929286741,0.9882522692248922,0.9889372651335036,0.9888689993531022,0.98802744749613,0.9886757948272604,0.0004661236754095632,5
0.0497314453125,0.0022494187768903324,0.020833206176757813,0.0011843779052299322,0.1,{'model__alpha': np.float64(0.1)},0.9892929920227573,0.9882523149020889,0.9889371823362584,0.9888690130588519,0.9880274758490744,0.9886757956338063,0.00046609909622418746,4
0.04956212043762207,0.00508655495262797,0.021564626693725587,0.0016115029797926863,0.1778279410038923,{'model__alpha': np.float64(0.1778279410038923)},0.9892929901706892,0.9882523958871109,0.9889370348663629,0.9888690371915798,0.988027526029444,0.9886757968290374,0.0004660553954349615,3
0.05227789878845215,0.003800852018434974,0.01926765441894531,0.0020279540055216302,0.31622776601683794,{'model__alpha': np.float64(0.31622776601683794)},0.9892929861148493,0.9882525391365437,0.9889367718861156,0.9888690793476689,0.9880276145081642,0.9886757981986684,0.0004659777081116153,2
0.05170879364013672,0.005980511690631426,0.020722341537475587,0.0016636296121247296,0.5623413251903491,{'model__alpha': np.float64(0.5623413251903491)},0.9892929764920447,0.9882527914566529,0.9889363019017082,0.9888691519142884,0.988027769457728,0.9886757982444845,0.0004658396370709187,1
0.04521031379699707,0.0025045600923238862,0.01736283302307129,0.00209287423180989,1.0,{'model__alpha': np.float64(1.0)},0.9892929517597111,0.9882532325097986,0.9889354587654824,0.9888692733747135,0.9880280374444664,0.9886757907708343,0.00046559435723170304,13
0.05173993110656738,0.01748036722878077,0.01741032600402832,0.0034962411116001707,1.7782794100389228,{'model__alpha': np.float64(1.7782794100389228)},0.9892928836925564,0.9882539926690638,0.9889339361303683,0.9888694653960853,0.9880284901139657,0.9886757536004079,0.00046515896923228126,14
0.04518980979919433,0.007369835744614485,0.0158538818359375,0.0007945736320728086,3.1622776601683795,{'model__alpha': np.float64(3.1622776601683795)},0.9892926865467752,0.9882552681185407,0.9889311548298316,0.9888697311299621,0.9880292196159582,0.9886756120482136,0.00046438722282182173,15
0.046347427368164065,0.004366213045898817,0.016737937927246094,0.0016115063759257807,5.623413251903491,{'model__alpha': np.float64(5.623413251903491)},0.9892920956645743,0.988257295215593,0.9889259764089149,0.9888699645444313,0.9880302785665381,0.9886751220800104,0.00046302274886176123,16
