mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.60743088722229,0.06380000990159149,0.017525100708007814,0.0007509679716746847,0.03,2,100,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9582070785792786,0.9562677503905752,0.9544915959456247,0.9594899939184407,0.9581816793775643,0.9573276196422968,0.001751860827931348,71
0.5477654457092285,0.018272193743397874,0.017129898071289062,0.00038410066291301144,0.03,2,100,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9578920079911843,0.9562629209852447,0.9542793033104645,0.9592804097392909,0.9578798529582381,0.9571188989968846,0.0017114250878522814,72
1.4176486492156983,0.1308563497313715,0.025277185440063476,0.0034519382129411177,0.03,2,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9844934016345921,0.9830936388213196,0.9832874417138695,0.98463432457991,0.9833928463124157,0.9837803306124213,0.0006484450854466481,63
1.2850712776184081,0.19745540911834886,0.025541400909423827,0.0061291325528763105,0.03,2,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9842855051981632,0.98311570960176,0.9831212040426693,0.9844055765763271,0.9833104488292563,0.9836476888496353,0.0005753472871580537,64
2.1725556373596193,0.07006058051538273,0.024059391021728514,0.0005736627001318515,0.03,2,400,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.9884163059023343,0.9869660084239553,0.9879914859966669,0.9882310181911137,0.9871084676074138,0.9877426572242968,0.0005932275385592467,27
2.2566365718841555,0.18775161924431552,0.028151798248291015,0.00512213307079207,0.03,2,400,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9883007913344846,0.9871259540520638,0.987898162938989,0.988037132815034,0.987045492355415,0.9876815066991973,0.0005039992677063038,36
1.0401001930236817,0.10142807117885712,0.02454366683959961,0.0023019301075193495,0.03,3,100,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.977478372158493,0.9765430191383251,0.9758227989455349,0.9779574338190414,0.9765899436709071,0.9768783135464604,0.0007528959421580288,70
1.103236722946167,0.1854044052025703,0.02521824836730957,0.0030167643316026463,0.03,3,100,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.977582377808802,0.9765343909188631,0.9757587886154069,0.9779936137790796,0.9765452619953489,0.9768828866235001,0.0008027501117957606,69
1.6285704612731933,0.3427503992997615,0.0216982364654541,0.0003690354257682074,0.03,3,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9877325822390253,0.9865409884169297,0.987245234812303,0.9875695349012571,0.9864212395796318,0.9871019159898294,0.0005319601049916147,54
1.9434425830841064,0.3353132195544329,0.027770280838012695,0.004015216828230673,0.03,3,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9877383409194441,0.9864850430191942,0.9871370124047107,0.9875360328313915,0.9863004923586521,0.9870393843066786,0.0005653294478481994,56
3.525005340576172,0.4547019316783446,0.031534767150878905,0.003814698522090705,0.03,3,400,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.9886709131290532,0.9875152839783553,0.9885160720110058,0.988319711826464,0.9872646464034264,0.9880573254696609,0.0005617711073976785,4
4.011809492111206,0.4711707751715115,0.03930296897888184,0.005489431785123142,0.03,3,400,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9887018780425734,0.9874451155213347,0.9884193269451758,0.988274051850729,0.9871630229424939,0.9880006790604614,0.000591945498221698,7
1.0076693058013917,0.21526886796433617,0.02377772331237793,0.006601638810656573,0.03,4,100,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9824518230660514,0.9814560625854706,0.980957971799442,0.9823969334772006,0.9810589396469004,0.9816643461150131,0.000642754678810403,65
0.966298246383667,0.16891596669987155,0.023610019683837892,0.005559619885172428,0.03,4,100,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.98229118617547,0.9814751137820045,0.9809325212691052,0.9822459454390683,0.9808994460199879,0.9815688425371272,0.0006069646125604755,66
1.9778352737426759,0.30079635795574144,0.028410577774047853,0.002948003885471197,0.03,4,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9884691093193632,0.9872319835007594,0.9879862754754142,0.9880846201523069,0.986844962020314,0.9877233900936316,0.0005947788433328744,30
1.99673490524292,0.26960910264478943,0.030232763290405272,0.00584861565199753,0.03,4,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9883357079211843,0.9871168868270992,0.9879183881755208,0.987851978608421,0.9867448436366251,0.98759356103377,0.000578033534827686,42
3.4972604751586913,0.33191714093816116,0.03906712532043457,0.008514825082184175,0.03,4,400,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.9885887108999538,0.9874823175045615,0.9882910051054383,0.9881292348672598,0.9870049036608064,0.9878992344076039,0.0005753971694988732,15
4.4329649925231935,0.9220542187051676,0.0441131591796875,0.011649994104840116,0.03,4,400,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9884938072044863,0.9873737769574608,0.9882504602147605,0.9879634091283891,0.9869157598428095,0.9877994426695812,0.000578710734272951,21
0.723631477355957,0.1631479784711194,0.02161064147949219,0.0033128461089053287,0.05,2,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.981583217803884,0.980297714402757,0.9797182019309227,0.9817339506460776,0.9805133048914083,0.9807692779350099,0.0007727543827104221,67
0.7556103706359864,0.1885055787103542,0.020886325836181642,0.0033270138012832535,0.05,2,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9813175623962904,0.9800234296966128,0.9800294366917464,0.9814872662570577,0.9802854663724937,0.9806286322828403,0.0006410842958122867,68
1.231007719039917,0.2017322246775258,0.023743295669555665,0.0068505698949287794,0.05,2,200,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9881062737396168,0.9867082882398656,0.9871940589982008,0.9877623567866011,0.9867633754239727,0.9873068706376514,0.00055007769479285,47
1.1859556198120118,0.268379579417984,0.02296590805053711,0.005232898295772225,0.05,2,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9878769479244007,0.9865170408876683,0.9874768514498344,0.9875634143351715,0.9865509302276898,0.987197036964953,0.000557612054603237,51
2.7496433734893797,0.40858103870749674,0.02804408073425293,0.005621774097104837,0.05,2,400,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.9886873834201977,0.9873443766715517,0.9880988352739498,0.9882240225977681,0.9873341145812508,0.9879377465089437,0.0005265583264967102,10
2.554740571975708,0.6508248670685396,0.026940441131591795,0.00473708543661551,0.05,2,400,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9885244744191775,0.9871838477280084,0.9883658444409167,0.9880494317357282,0.9871072254052077,0.9878461647458077,0.0005926522840316893,18
0.9853317260742187,0.16155678447438243,0.02044849395751953,0.002988663897333835,0.05,3,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9866508781007964,0.9854800719302893,0.9858293097920711,0.9866175077292406,0.985550762254618,0.9860257059614032,0.0005104760547061527,61
0.9138340473175048,0.2057494844898378,0.02185811996459961,0.004825332536146653,0.05,3,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9866999751152716,0.9855379986457804,0.9858795602834886,0.9865416143892135,0.9853044813369701,0.9859927259541449,0.0005467620939904488,62
1.6958863258361816,0.34709446808441907,0.026720809936523437,0.003582026197289127,0.05,3,200,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9885748875349407,0.9874517757432851,0.9883127232962645,0.9882837214593099,0.9873120857080887,0.9879870387483779,0.0005063053116012113,8
1.4898239135742188,0.08922588307386947,0.023204278945922852,0.0022342240915950505,0.05,3,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9886204405867243,0.9874227247255171,0.9883167200039363,0.9882060641236728,0.9870704570566102,0.9879272812992921,0.000582851144733391,11
3.593311071395874,0.6410717965381636,0.036102819442749026,0.007427657392639308,0.05,3,400,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.9886357124030085,0.9876404649271776,0.988387510637027,0.9882832964947202,0.9873742162205048,0.9880642401364875,0.0004764007742767965,3
3.122393751144409,0.432705654198683,0.03436737060546875,0.008294715713608939,0.05,3,400,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9886877851416624,0.9875647218013738,0.98837982543364,0.9882643082533005,0.9872287151558673,0.9880250711571688,0.0005419186692250734,5
0.8979704856872559,0.11473194077420912,0.02042102813720703,0.0007317103559535955,0.05,4,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9879331863789073,0.9867517126613083,0.9873234998624367,0.9876943539496272,0.9865244439099414,0.9872454393524442,0.000537441011617611,49
0.9924177169799805,0.21851474430821485,0.021448945999145506,0.002622007447715417,0.05,4,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9878545227507992,0.9866642352827194,0.9873435194722378,0.987515952959311,0.9863091077002784,0.9871374676330692,0.0005674514217338419,53
2.142202138900757,0.49744078385417867,0.0350611686706543,0.010900896917367106,0.05,4,200,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9885584432035074,0.9874262624428558,0.9882525232342704,0.9881445128270452,0.9870891653057886,0.9878941814026934,0.0005475979363635142,16
2.2329407691955567,0.4506929682475275,0.029058313369750975,0.004336150999541965,0.05,4,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9884850415896904,0.9873348029577048,0.9882462542117709,0.9879798597937026,0.9869178953872474,0.9877927707880232,0.0005822421961675751,22
3.74190616607666,0.792214353372446,0.038859319686889646,0.004466882301428521,0.05,4,400,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.9884421951420552,0.9873435855919652,0.9881337667388127,0.9880006911785613,0.9870126215810937,0.9877865720464974,0.0005275356144023083,23
4.411438512802124,0.8441619111550098,0.047366905212402347,0.0108943969961963,0.05,4,400,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9883007804614088,0.9873443745224305,0.9880419039495288,0.9879445983784834,0.9868282737311241,0.9876919862085952,0.000533613887403996,34
0.6951947212219238,0.1349947710338396,0.018918752670288086,0.0024910940628702187,0.1,2,100,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9878819159454512,0.9868597953318677,0.9871482333483981,0.9874729087083509,0.9865936360297325,0.98719129787276,0.00045281478587551696,52
